Q64343	Abcg1
Q7TMS5	Abcg2
Q9DBM0	Abcg8
P21836	Ache
Q9QZQ1	Afdn
A2ASQ1	Agrn
O08915	Aip
O08715	Akap1
P31750	Akt1
Q920R0	Als2
Q8VHG2	Amot
Q02357	Ank1
Q3UMR0	Ankrd27
Q6DQH2	Apbb2
P62331	Arf6
Q6Y5D8	Arhgap10
Q91YM2	Arhgap35
P53762	Arnt
Q9WTL8	Arntl
Q6NXK8	Asic1
O35625	Axin1
O08734	Bak1
Q07813	Bax
P21237	Bdnf
P25916	Bmi1
P21274	Bmp2
O55003	Bnip3
Q9ESU6	Brd4
Q7TSA3	Btla
O70355	Btnl2
P98086	C1qa
P28651	Ca8
P28652	Camk2b
Q8VHK1	Caskin2
Q08024	Cbfb
P30658	Cbx2
Q6PDY0	Ccdc85b
Q5SNZ0	Ccdc88a
P10855	Ccl3
P14097	Ccl4
P30882	Ccl5
Q9QWV9	Ccnt1
P51680	Ccr4
P31041	Cd28
P27512	Cd40
P27548	Cd40lg
P60766	Cdc42
P09803	Cdh1
Q03147	Cdk7
P46414	Cdkn1b
P53566	Cebpa
P28033	Cebpb
Q00322	Cebpd
Q03059	Chat
O08785	Clock
Q9JJZ9	Cngb3
Q01147	Creb1
P45481	Crebbp
P27699	Crem
P01587	Csf2
P26955	Csf2rb
P50462	Csrp3
P56546	Ctbp2
P09793	Ctla4
Q02248	Ctnnb1
Q9WTX6	Cul1
P98078	Dab2
P31786	Dbi
Q8VHZ5	Ddit4l
Q62108	Dlg4
Q09163	Dlk1
P97465	Dok1
Q99N11	Dusp22
P51141	Dvl1
Q61501	E2f1
Q8R0K9	E2f4
Q61502	E2f5
Q61508	Ecm1
P57776	Eef1d
Q8BPB5	Efemp1
Q9WVJ9	Efemp2
P01132	Egf
Q01279	Egfr
B2RWS6	Ep300
Q8BGS1	Epb41l5
Q03137	Epha4
P07321	Epo
P14753	Epor
P25446	Fas
P41047	Faslg
Q08879	Fbln1
P37889	Fbln2
Q9WVH9	Fbln5
P26151	Fcgr1
Q61559	Fcgrt
P15655	Fgf2
P54130	Fgf9
P16092	Fgfr1
P21803	Fgfr2
Q03142	Fgfr4
O70433	Fhl2
P35917	Flt4
P11276	Fn1
P70339	Frat1
Q8C180	Frs2
Q61584	Fxr1
Q9WVR4	Fxr2
Q9Z1S8	Gab2
P17679	Gata1
P48540	Gdnf
P03995	Gfap
Q9Z0G0	Gipc1
Q9JMB0	Gkap1
P27601	Gna13
P08752	Gnai2
Q6R0H7	Gnas
P62880	Gnb2
P63213	Gng2
O89100	Grap2
P23818	Gria1
Q9WV60	Gsk3b
Q8R4I4	Gtf2a1l
O88895	Hdac3
Q9Z2V6	Hdac5
Q8C2B3	Hdac7
Q6I6G8	Hecw2
Q62424	Hoxa13
P70217	Hoxd13
O08983	Hps1
Q99KG7	Hps4
P38532	Hsf1
Q05793	Hspg2
Q9WVS0	Icos
Q61635	Ifi47
P05017	Igf1
Q9QZ85	Iigp1
P01582	Il1a
Q61730	Il1rap
P04351	Il2
P01586	Il3
P04401	Il5
P21183	Il5ra
P15247	Il9
P15208	Insr
Q8K4N8	Irak1
P70671	Irf3
P70434	Irf7
P52332	Jak1
Q62120	Jak2
P05627	Jun
Q02257	Jup
P23299	Kcne1
Q9WTW2	Kcne3
P35918	Kdr
Q60749	Khdrbs1
P33175	Kif5a
Q61768	Kif5b
P28738	Kif5c
P70188	Kifap3
P05532	Kit
O08584	Klf6
Q6TDP3	Klhl17
P00756	Klk1b3
P00757	Klk1b4
Q61097	Ksr1
P11627	L1cam
P63006	Lhx1
P09056	Lif
