P60710	Actb	STRING
Q8C886	Plekhn1	STRING
P99024	Tubb5	STRING
P63017	Hspa8	STRING
P35700	Prdx1	STRING
Q62167	Ddx3x	STRING
P26040	Ezr	STRING
Q6ZWV3	Rpl10	STRING
P03975	Iap	no-STRING
P60843	Eif4a1	STRING
P58252	Eef2	STRING
Q9D8E6	Rpl4	STRING
P17182	Eno1b	STRING
P05064	Aldoa	STRING
P24547	Impdh2	STRING
Q62351	Tfrc	STRING
P62830	Rpl23	STRING
P62754	Rps6	STRING
P14148	Rpl7	STRING
Q61656	Ddx5	STRING
P47911	Rpl6	STRING
P07901	Hsp90aa1	STRING
P62245	Rps15a	STRING
P27659	Rpl3	STRING
Q9WU78	Pdcd6ip	STRING
Q6ZWU9	Rps27rt	STRING
P62259	Ywhae	STRING
P60335	Pcbp1	STRING
P84099	Rpl19	STRING
Q61753	Phgdh	STRING
P17225	Ptbp1	STRING
Q9D8N0	Eef1g	STRING
O70318	Epb4.1l2	STRING
P63101	Ywhaz	STRING
P57780	Actn4	STRING
P14131	Rps16	STRING
P18760	Cfl1	STRING
Q05144	Rac2	STRING
P29341	Pabpc1	STRING
P61979	Hnrnpk	STRING
Q9WTK5	Nfkb2	STRING
Q922D8	Mthfd1	STRING
P60867	Rps20	STRING
Q8VDN2	Atp1a1	STRING
Q8CGC7	Eprs	STRING
Q9CZD3	Gars	STRING
P62849	Rps24	STRING
P51912	Slc1a5	STRING
Q61233	Lcp1	STRING
Q9WUA3	Pfkp	STRING
Q07076	Anxa7	STRING
O35737	Hnrnph1	STRING
Q61881	Mcm7	STRING
P11440	Cdk1	STRING
P08101	Fcgr2b	STRING
Q9JKF1	Iqgap1	STRING
O88207	Col5a1	STRING
P01900	H2-D1	no-STRING
P21995	Emb	STRING
P26041	Msn	STRING
P00405	mt-Co2	STRING
P01837	UNKNOWN	no-STRING
Q9Z1Q9	Vars	STRING
O08807	Prdx4	STRING
Q60930	Vdac2	STRING
E9PVA8	Gcn1l1	STRING
P25918	Cd19	STRING
Q99LE6	Abcf2	STRING
Q921F2	Tardbp	STRING
P46935	Nedd4	STRING
P48962	Slc25a4	STRING
P53996	Cnbp	STRING
P00375	Dhfr	STRING
Q9D880	Timm50	STRING
P27546	Map4	STRING
O88569	Hnrnpa2b1	STRING
Q01853	Vcp	STRING
P10852	Slc3a2	STRING
P01863	Ighg	no-STRING
P62821	Rab1	STRING
Q61470	Cd37	STRING
P35279	Rab6a	STRING
Q6ZQA6	Igsf3	STRING
Q02053	Uba1	STRING
P62196	Psmc5	STRING
P19096	Fasn	STRING
Q91V41	Rab14	STRING
P62960	Ybx1	STRING
P60229	Eif3e	STRING
P35278	Rab5c	STRING
O89053	Coro1a	STRING
Q8BGD9	Eif4b	STRING
Q9Z2X1	Hnrnpf	STRING
Q6A0D4	Rftn1	STRING
Q8BK64	Ahsa1	STRING
Q8VIJ6	Sfpq	STRING
P63094	Gnas	STRING
Q8R081	Hnrnpl	STRING
P20029	Hspa5	STRING
Q9QUI0	Rhoa	STRING
P53986	Slc16a1	STRING
Q61171	Prdx2	STRING
P62880	Gnb2	STRING
Q9D7G0	Prps1	STRING
P70372	Elavl1	STRING
Q8BTM8	Flna	STRING
Q60864	Stip1	STRING
P42932	Cct8	STRING
P10639	Txn1	STRING
Q8VEM8	Slc25a3	STRING
Q01965	Ly9	STRING
Q9CW03	Smc3	STRING
P27601	Gna13	STRING
Q61598	Gdi2	STRING
P29351	Ptpn6	STRING
P21107	Tpm3	STRING
Q8BG05	Hnrnpa3	STRING
O09167	Rpl21	STRING
Q8CG48	Smc2	STRING
Q8CJ40	Crocc	STRING
Q61029	Tmpo	STRING
Q9Z2Z6	Slc25a20	STRING
Q91VR5	Ddx1	STRING
P84078	Arf1	STRING
P61750	Arf4	STRING
Q68FD5	Cltc	STRING
Q9QYJ0	Dnaja2	STRING
P63325	Rps10	STRING
Q80U93	Nup214	STRING
Q9CY58	Serbp1	STRING
